Download started at: 2025-03-11 23:09:04
Total images to download: 44

✓ uchicago_image_009.jpg: https://scontent-ord5-2.cdninstagram.com/v/t51.2885-15/452346324_852195896293890_3389296992436081413_n.jpg?stp=dst-jpg_e35_tt6&efg=eyJ2ZW5jb2RlX3RhZyI6ImltYWdlX3VybGdlbi42NDB4ODAwLnNkci5mMjg4NS5kZWZhdWx0X2ltYWdlIn0&_nc_ht=scontent-ord5-2.cdninstagram.com&_nc_cat=106&_nc_oc=Q6cZ2AGAc2-S-lwKUGPv_vPUpjIOIcmYZ_3PaS0TK_MSiLulUbZXtHaW6S1H7_P6Ol4TVCo&_nc_ohc=ngPF3aX6CysQ7kNvgHe4PTL&_nc_gid=17f6099563d34fefab1d1fcb3a62e408&edm=APoiHPcBAAAA&ccb=7-5&ig_cache_key=MzQxNzA3MjQ3ODMwNzMzMDgzOQ%3D%3D.3-ccb7-5&oh=00_AYF3upc1xsRQ02dBQnK5JGADwq69gaaG66gUKKyXWGUBmQ&oe=67D6E37A&_nc_sid=22de04 (142.6 KB)
✓ uchicago_image_010.jpg: https://scontent-ord5-2.cdninstagram.com/v/t51.2885-15/448853673_476562928188696_4121519551852748760_n.jpg?stp=dst-jpg_e35_tt6&efg=eyJ2ZW5jb2RlX3RhZyI6ImltYWdlX3VybGdlbi4xMDgweDEwODAuc2RyLmYyODg1LmRlZmF1bHRfaW1hZ2UifQ&_nc_ht=scontent-ord5-2.cdninstagram.com&_nc_cat=100&_nc_oc=Q6cZ2AEtSHd-cjRetejz4052le-JqMmUv55JRXM1NXFmoCwvvp32ihaR9IbXHzqCZAOZTKs&_nc_ohc=AahQt9moO-oQ7kNvgGiOp48&_nc_gid=2e8cf4baadec428aa5a8a3a86423a4c6&edm=APoiHPcBAAAA&ccb=7-5&ig_cache_key=MzM5NDgyOTQwNjYyOTk3NTEzMg%3D%3D.3-ccb7-5&oh=00_AYFbw77UoXQOSFHp8uDNyW816yqFhpUl-2qbhyK-jWZLpA&oe=67D6CF21&_nc_sid=22de04 (153.8 KB)
✓ uchicago_image_011.jpg: https://scontent-ord5-2.cdninstagram.com/v/t51.2885-15/448309949_333867739603740_6145535033462164873_n.jpg?stp=dst-jpg_e35_tt6&efg=eyJ2ZW5jb2RlX3RhZyI6ImltYWdlX3VybGdlbi4xNDM5eDExNTIuc2RyLmYyODg1LmRlZmF1bHRfaW1hZ2UifQ&_nc_ht=scontent-ord5-2.cdninstagram.com&_nc_cat=100&_nc_oc=Q6cZ2AEtSHd-cjRetejz4052le-JqMmUv55JRXM1NXFmoCwvvp32ihaR9IbXHzqCZAOZTKs&_nc_ohc=WDoXqDsLCLcQ7kNvgH2L3yw&_nc_gid=2e8cf4baadec428aa5a8a3a86423a4c6&edm=APoiHPcBAAAA&ccb=7-5&ig_cache_key=MzM4ODkyNDA5MDExNzk2MjMyMg%3D%3D.3-ccb7-5&oh=00_AYHzGgW3drsxHm7M71Erm2EJ8lQGtVgD-ga5cSNo-4eupA&oe=67D6EBBF&_nc_sid=22de04 (387.6 KB)
✓ uchicago_image_012.jpg: https://scontent-ord5-2.cdninstagram.com/v/t51.2885-15/450094824_1547377926125776_2271701070553305598_n.jpg?stp=dst-jpg_e35_tt6&efg=eyJ2ZW5jb2RlX3RhZyI6ImltYWdlX3VybGdlbi4xMDgweDEwODAuc2RyLmYyODg1LmRlZmF1bHRfaW1hZ2UifQ&_nc_ht=scontent-ord5-2.cdninstagram.com&_nc_cat=104&_nc_oc=Q6cZ2AGAc2-S-lwKUGPv_vPUpjIOIcmYZ_3PaS0TK_MSiLulUbZXtHaW6S1H7_P6Ol4TVCo&_nc_ohc=dGK3lBXLRCkQ7kNvgG6HFRj&_nc_gid=17f6099563d34fefab1d1fcb3a62e408&edm=APoiHPcBAAAA&ccb=7-5&ig_cache_key=MzQwNzgyMjExNTg3OTI1MjQwNw%3D%3D.3-ccb7-5&oh=00_AYGG3YVvEXmExJGagJjlIzXDFoJnP-qnwQag04kOqukYVA&oe=67D6F508&_nc_sid=22de04 (248.7 KB)
✓ uchicago_image_013.jpg: https://scontent-ord5-2.cdninstagram.com/v/t51.2885-15/452931218_453221134258881_2378420312406986917_n.jpg?stp=dst-jpg_e35_tt6&efg=eyJ2ZW5jb2RlX3RhZyI6ImltYWdlX3VybGdlbi4xMDgweDEwODAuc2RyLmYyODg1LmRlZmF1bHRfaW1hZ2UifQ&_nc_ht=scontent-ord5-2.cdninstagram.com&_nc_cat=109&_nc_oc=Q6cZ2AEbagHtA9e0nkDC7_NztXafsFXn5vKut6sFCi2eYzN8wypdnNMWhvbXAxERqP0OBS4&_nc_ohc=ctArinwPjREQ7kNvgHM6xCx&_nc_gid=118738c525f64d92be50a699cc5be2da&edm=APoiHPcBAAAA&ccb=7-5&ig_cache_key=MzQyMDE4NTU1MzI0NjY5MDg5OQ%3D%3D.3-ccb7-5&oh=00_AYHxIejicqCHYsN9yUEAUHzJuEqPATXy9vScKw779AR9Vg&oe=67D6D302&_nc_sid=22de04 (244.9 KB)
✓ uchicago_image_014.jpg: https://scontent-ord5-2.cdninstagram.com/v/t51.2885-15/452772460_1149431092819996_7554264502428731783_n.jpg?stp=dst-jpg_e35_tt6&efg=eyJ2ZW5jb2RlX3RhZyI6ImltYWdlX3VybGdlbi4xNDM5eDk1NC5zZHIuZjI4ODUuZGVmYXVsdF9pbWFnZSJ9&_nc_ht=scontent-ord5-2.cdninstagram.com&_nc_cat=104&_nc_oc=Q6cZ2AEbagHtA9e0nkDC7_NztXafsFXn5vKut6sFCi2eYzN8wypdnNMWhvbXAxERqP0OBS4&_nc_ohc=qcBWgNm9I68Q7kNvgFpLjxs&_nc_gid=118738c525f64d92be50a699cc5be2da&edm=APoiHPcBAAAA&ccb=7-5&ig_cache_key=MzQxODcyNDYxMTAxMjc2Mjc4Mg%3D%3D.3-ccb7-5&oh=00_AYEqb7ssQhqrzhk6Pbd9eBSOp1dflrDR9rloHSJTNBpPJg&oe=67D6D949&_nc_sid=22de04 (494.7 KB)
✓ uchicago_image_015.jpg: https://scontent-ord5-2.cdninstagram.com/v/t51.29350-15/448920040_441575005460768_8347243780890628989_n.jpg?stp=dst-jpg_e15_tt6&efg=eyJ2ZW5jb2RlX3RhZyI6ImltYWdlX3VybGdlbi4xMDgweDE5MjAuc2RyLmYyOTM1MC5kZWZhdWx0X2NvdmVyX2ZyYW1lIn0&_nc_ht=scontent-ord5-2.cdninstagram.com&_nc_cat=108&_nc_oc=Q6cZ2AEtSHd-cjRetejz4052le-JqMmUv55JRXM1NXFmoCwvvp32ihaR9IbXHzqCZAOZTKs&_nc_ohc=lmbVwt1W4b4Q7kNvgHGxFE9&_nc_gid=2e8cf4baadec428aa5a8a3a86423a4c6&edm=APoiHPcBAAAA&ccb=7-5&ig_cache_key=MzM5NjA1NzExMDIwNTY1ODA2OTk3ODM1MTU1NzM1MjI4Ng%3D%3D.3-ccb7-5&oh=00_AYE-vx0T-wiMzPSo66NQHADDmLmBZ7rWYaki9p4NMpP95w&oe=67D6E61E&_nc_sid=22de04 (273.0 KB)
✓ uchicago_image_016.jpg: https://scontent-ord5-2.cdninstagram.com/v/t51.29350-15/450394278_501266118944039_2878991463029353324_n.jpg?stp=dst-jpg_e35_tt6&efg=eyJ2ZW5jb2RlX3RhZyI6ImltYWdlX3VybGdlbi4xMzg4eDEwMzkuc2RyLmYyOTM1MC5kZWZhdWx0X2ltYWdlIn0&_nc_ht=scontent-ord5-2.cdninstagram.com&_nc_cat=111&_nc_oc=Q6cZ2AGAc2-S-lwKUGPv_vPUpjIOIcmYZ_3PaS0TK_MSiLulUbZXtHaW6S1H7_P6Ol4TVCo&_nc_ohc=HH67csj_m0YQ7kNvgGD-IXl&_nc_gid=17f6099563d34fefab1d1fcb3a62e408&edm=APoiHPcBAAAA&ccb=7-5&ig_cache_key=MzQwOTE3ODc1OTc5MzAxMTQ5Mw%3D%3D.3-ccb7-5&oh=00_AYEiSVcNgJlWHrxZLqPrqdru53OwqVCqMSdsrlnP5fJklg&oe=67D6F112&_nc_sid=22de04 (243.6 KB)
✓ uchicago_image_017.jpg: https://scontent-ord5-2.cdninstagram.com/v/t51.2885-15/450103118_856628073047592_5370323002070765735_n.jpg?stp=dst-jpg_e35_tt6&efg=eyJ2ZW5jb2RlX3RhZyI6ImltYWdlX3VybGdlbi4xMDgweDU2Ni5zZHIuZjI4ODUuZGVmYXVsdF9pbWFnZSJ9&_nc_ht=scontent-ord5-2.cdninstagram.com&_nc_cat=100&_nc_oc=Q6cZ2AGAc2-S-lwKUGPv_vPUpjIOIcmYZ_3PaS0TK_MSiLulUbZXtHaW6S1H7_P6Ol4TVCo&_nc_ohc=BEQG8BTdwLoQ7kNvgHCpgGc&_nc_gid=17f6099563d34fefab1d1fcb3a62e408&edm=APoiHPcBAAAA&ccb=7-5&ig_cache_key=MzQwODQ0MTc3NzgwMjg3MDczMQ%3D%3D.3-ccb7-5&oh=00_AYH7u0KII7qJwyF6eWM8ZWnRm5AgfQ5r1tgHQmA2LRxPhw&oe=67D6ED8C&_nc_sid=22de04 (191.1 KB)
✓ uchicago_image_018.jpg: https://scontent-ord5-2.cdninstagram.com/v/t51.2885-15/449744384_2192648414431179_211181712707034069_n.jpg?stp=dst-jpg_e35_tt6&efg=eyJ2ZW5jb2RlX3RhZyI6ImltYWdlX3VybGdlbi4xNDM5eDk1OS5zZHIuZjI4ODUuZGVmYXVsdF9pbWFnZSJ9&_nc_ht=scontent-ord5-2.cdninstagram.com&_nc_cat=103&_nc_oc=Q6cZ2AEzKBxvwSHVYKT96dy0EGbgLV7KCjseTQNRZq8GRARH4P5Cjxvf0rATPwiKfoIgH9M&_nc_ohc=wZgcv0ZdU2EQ7kNvgHoL4L7&_nc_gid=c55339d386da4c3eb0024a15a2cce284&edm=APoiHPcBAAAA&ccb=7-5&ig_cache_key=MzQwMjY4NDEzMjQ3OTQwMTIzNw%3D%3D.3-ccb7-5&oh=00_AYFh3EoNUVrKOcPyxRUe4yxWtbTV3a72rbI12njeD-6j4A&oe=67D6CB85&_nc_sid=22de04 (230.2 KB)
